sample, JetFlavor, TotalNumberJets, LooseEff, MediumEff 
ZJets_MG_1, FLAV_B, 1273, 0.708129, 0.577690 
ZJets_MG_1, FLAV_C, 1776, 0.314454, 0.100594 
ZJets_MG_1, FLAV_UDSG, 25158, 0.080393, 0.009664 
ZJets_MG_2, FLAV_B, 78, 0.827661, 0.717653 
ZJets_MG_2, FLAV_C, 84, 0.430469, 0.199720 
ZJets_MG_2, FLAV_UDSG, 1282, 0.073303, 0.018368 
ZJets_hiM_AMC, FLAV_B, 13340, 0.734154, 0.584746 
ZJets_hiM_AMC, FLAV_C, 17308, 0.322296, 0.099803 
ZJets_hiM_AMC, FLAV_UDSG, 172883, 0.081942, 0.010043 
tt_ll, FLAV_B, 0, 0.000000, 0.000000 
tt_ll, FLAV_C, 0, 0.000000, 0.000000 
tt_ll, FLAV_UDSG, 0, 0.000000, 0.000000 
tt_ll_MG, FLAV_B, 37633, 0.786075, 0.642337 
tt_ll_MG, FLAV_C, 2396, 0.305877, 0.102126 
tt_ll_MG, FLAV_UDSG, 36189, 0.086261, 0.009310 
tt_ll_POW, FLAV_B, 115770, 0.801832, 0.664751 
tt_ll_POW, FLAV_C, 6467, 0.304116, 0.099580 
tt_ll_POW, FLAV_UDSG, 105483, 0.084888, 0.009059 
tW_pos, FLAV_B, 521, 0.778832, 0.681388 
tW_pos, FLAV_C, 39, 0.308414, 0.106646 
tW_pos, FLAV_UDSG, 520, 0.063041, 0.003889 
tW_neg, FLAV_B, 430, 0.736855, 0.625129 
tW_neg, FLAV_C, 37, 0.434445, 0.066810 
tW_neg, FLAV_UDSG, 475, 0.081746, 0.016501 
tZq, FLAV_B, 140410, 0.750013, 0.609069 
tZq, FLAV_C, 19472, 0.277546, 0.084778 
tZq, FLAV_UDSG, 190238, 0.075224, 0.007513 
tHq, FLAV_B, 0, 0.000000, 0.000000 
tHq, FLAV_C, 0, 0.000000, 0.000000 
tHq, FLAV_UDSG, 0, 0.000000, 0.000000 
tHW, FLAV_B, 0, 0.000000, 0.000000 
tHW, FLAV_C, 0, 0.000000, 0.000000 
tHW, FLAV_UDSG, 0, 0.000000, 0.000000 
ttZ, FLAV_B, 54098, 0.788406, 0.633180 
ttZ, FLAV_C, 12599, 0.367823, 0.111252 
ttZ, FLAV_UDSG, 72699, 0.105262, 0.011427 
ttZ_1, FLAV_B, 251481, 0.782010, 0.630609 
ttZ_1, FLAV_C, 58371, 0.374439, 0.113726 
ttZ_1, FLAV_UDSG, 339961, 0.095715, 0.011191 
ttZ_2, FLAV_B, 255378, 0.785592, 0.633263 
ttZ_2, FLAV_C, 59077, 0.374916, 0.119194 
ttZ_2, FLAV_UDSG, 345958, 0.096482, 0.011833 
ttWW, FLAV_B, 1176, 0.792571, 0.635923 
ttWW, FLAV_C, 257, 0.368248, 0.128304 
ttWW, FLAV_UDSG, 1241, 0.120108, 0.013475 
ttW, FLAV_B, 20096, 0.792104, 0.637638 
ttW, FLAV_C, 1673, 0.367071, 0.067665 
ttW, FLAV_UDSG, 17194, 0.102825, 0.010835 
ttH, FLAV_B, 53092, 0.819656, 0.674174 
ttH, FLAV_C, 9918, 0.385057, 0.114750 
ttH, FLAV_UDSG, 58341, 0.105880, 0.014208 
WZ_2l, FLAV_B, 357, 0.667786, 0.648069 
WZ_2l, FLAV_C, 5920, 0.319784, 0.105454 
WZ_2l, FLAV_UDSG, 27170, 0.086660, 0.007317 
ZZ_2l_2q, FLAV_B, 6688, 0.724312, 0.599063 
ZZ_2l_2q, FLAV_C, 3617, 0.328105, 0.107684 
ZZ_2l_2q, FLAV_UDSG, 20693, 0.090260, 0.010508 
WZ_3l, FLAV_B, 5624, 0.674984, 0.543161 
WZ_3l, FLAV_C, 44498, 0.338538, 0.107432 
WZ_3l, FLAV_UDSG, 396054, 0.089008, 0.010348 
ggZZ_4mu, FLAV_B, 0, 0.000000, 0.000000 
ggZZ_4mu, FLAV_C, 0, 0.000000, 0.000000 
ggZZ_4mu, FLAV_UDSG, 0, 0.000000, 0.000000 
ggZZ_4tau, FLAV_B, 0, 0.000000, 0.000000 
ggZZ_4tau, FLAV_C, 0, 0.000000, 0.000000 
ggZZ_4tau, FLAV_UDSG, 0, 0.000000, 0.000000 
ggZZ_2e2mu, FLAV_B, 0, 0.000000, 0.000000 
ggZZ_2e2mu, FLAV_C, 0, 0.000000, 0.000000 
ggZZ_2e2mu, FLAV_UDSG, 0, 0.000000, 0.000000 
ggZZ_2e2tau, FLAV_B, 0, 0.000000, 0.000000 
ggZZ_2e2tau, FLAV_C, 0, 0.000000, 0.000000 
ggZZ_2e2tau, FLAV_UDSG, 0, 0.000000, 0.000000 
ggZZ_2mu2tau, FLAV_B, 0, 0.000000, 0.000000 
ggZZ_2mu2tau, FLAV_C, 0, 0.000000, 0.000000 
ggZZ_2mu2tau, FLAV_UDSG, 0, 0.000000, 0.000000 
WW_2l_1, FLAV_B, 6, 0.677050, 0.507809 
WW_2l_1, FLAV_C, 27, 0.353875, 0.130256 
WW_2l_1, FLAV_UDSG, 426, 0.099996, 0.014082 
ZZ_4l, FLAV_B, 66214, 0.692121, 0.559572 
ZZ_4l, FLAV_C, 132605, 0.325686, 0.100957 
ZZ_4l, FLAV_UDSG, 1897835, 0.106124, 0.014457 
ZZ_4l_amc, FLAV_B, 12149, 0.699551, 0.563920 
ZZ_4l_amc, FLAV_C, 22523, 0.321620, 0.101933 
ZZ_4l_amc, FLAV_UDSG, 293066, 0.105031, 0.014316 
WWW, FLAV_B, 9, 0.621015, 0.498601 
WWW, FLAV_C, 43, 0.353047, 0.084843 
WWW, FLAV_UDSG, 440, 0.085340, 0.006053 
WWZ, FLAV_B, 38, 0.662500, 0.385565 
WWZ, FLAV_C, 591, 0.373189, 0.115234 
WWZ, FLAV_UDSG, 3175, 0.092608, 0.013440 
WZZ, FLAV_B, 398, 0.691558, 0.548668 
WZZ, FLAV_C, 742, 0.380520, 0.107664 
WZZ, FLAV_UDSG, 4132, 0.098870, 0.012946 
ZZZ, FLAV_B, 459, 0.819955, 0.627503 
ZZZ, FLAV_C, 438, 0.363193, 0.095161 
ZZZ, FLAV_UDSG, 2798, 0.107033, 0.010311 
WWW_lep, FLAV_B, 128, 0.623187, 0.577256 
WWW_lep, FLAV_C, 662, 0.337708, 0.110866 
WWW_lep, FLAV_UDSG, 6873, 0.094010, 0.009623 
