sample, JetFlavor, TotalNumberJets, LooseEff, MediumEff 
ZJets_hiM_MG, FLAV_UDSG, 68746, 0.082203, 0.008240 
ZJets_MG_1, FLAV_B, 895, 0.778909, 0.628484 
ZJets_MG_1, FLAV_C, 1095, 0.361405, 0.114092 
ZJets_MG_1, FLAV_UDSG, 12935, 0.082956, 0.009081 
ZJets_hiM_AMC, FLAV_B, 8520, 0.764650, 0.631988 
ZJets_hiM_AMC, FLAV_C, 10835, 0.355278, 0.098649 
ZJets_hiM_AMC, FLAV_UDSG, 108003, 0.082996, 0.007793 
ZJets_MG_2, FLAV_B, 886, 0.767874, 0.648136 
ZJets_MG_2, FLAV_C, 1125, 0.366121, 0.112519 
ZJets_MG_2, FLAV_UDSG, 13158, 0.072938, 0.006661 
ZJets_m_10_50, FLAV_B, 0, 0.000000, 0.000000 
ZJets_m_10_50, FLAV_C, 0, 0.000000, 0.000000 
ZJets_m_10_50, FLAV_UDSG, 0, 0.000000, 0.000000 
tt_ll, FLAV_B, 0, 0.000000, 0.000000 
tt_ll, FLAV_C, 0, 0.000000, 0.000000 
tt_ll, FLAV_UDSG, 0, 0.000000, 0.000000 
tt_ll_MG, FLAV_B, 63817, 0.830267, 0.690068 
tt_ll_MG, FLAV_C, 3624, 0.338407, 0.104992 
tt_ll_MG, FLAV_UDSG, 56441, 0.084692, 0.008882 
tt_ll_POW, FLAV_B, 152457, 0.831463, 0.693982 
tt_ll_POW, FLAV_C, 8293, 0.345107, 0.110570 
tt_ll_POW, FLAV_UDSG, 128069, 0.084454, 0.008546 
tW_pos, FLAV_B, 1120, 0.806001, 0.665840 
tW_pos, FLAV_C, 86, 0.282240, 0.053815 
tW_pos, FLAV_UDSG, 1043, 0.070272, 0.006091 
tW_neg, FLAV_B, 1254, 0.806883, 0.657218 
tW_neg, FLAV_C, 96, 0.302827, 0.059379 
tW_neg, FLAV_UDSG, 1182, 0.086750, 0.005087 
tHq, FLAV_B, 7734, 0.827229, 0.681639 
tHq, FLAV_C, 607, 0.284290, 0.086573 
tHq, FLAV_UDSG, 5581, 0.056162, 0.007474 
tHW, FLAV_B, 4817, 0.807809, 0.663416 
tHW, FLAV_C, 1129, 0.418909, 0.112971 
tHW, FLAV_UDSG, 6393, 0.104591, 0.011863 
tZq, FLAV_B, 443951, 0.796397, 0.662015 
tZq, FLAV_C, 61782, 0.314062, 0.081210 
tZq, FLAV_UDSG, 567484, 0.073759, 0.007069 
tZW, FLAV_B, 0, 0.000000, 0.000000 
tZW, FLAV_C, 0, 0.000000, 0.000000 
tZW, FLAV_UDSG, 0, 0.000000, 0.000000 
ttZ, FLAV_B, 277307, 0.826054, 0.680783 
ttZ, FLAV_C, 61930, 0.405114, 0.109517 
ttZ, FLAV_UDSG, 348802, 0.087119, 0.009185 
ttWW, FLAV_B, 2517, 0.833852, 0.684380 
ttWW, FLAV_C, 566, 0.409339, 0.112491 
ttWW, FLAV_UDSG, 2811, 0.093795, 0.008638 
ttZ_lowM, FLAV_B, 3303, 0.822402, 0.669113 
ttZ_lowM, FLAV_C, 556, 0.412891, 0.146094 
ttZ_lowM, FLAV_UDSG, 3588, 0.064382, 0.005831 
ttW, FLAV_B, 46418, 0.831275, 0.687800 
ttW, FLAV_C, 3477, 0.363946, 0.105444 
ttW, FLAV_UDSG, 34796, 0.092655, 0.008251 
ttH, FLAV_B, 67456, 0.835665, 0.691720 
ttH, FLAV_C, 13585, 0.409885, 0.121949 
ttH, FLAV_UDSG, 86460, 0.099804, 0.010972 
WZ_2l, FLAV_B, 0, 0.000000, 0.000000 
WZ_2l, FLAV_C, 0, 0.000000, 0.000000 
WZ_2l, FLAV_UDSG, 0, 0.000000, 0.000000 
ZZ_2l_2q, FLAV_B, 0, 0.000000, 0.000000 
ZZ_2l_2q, FLAV_C, 0, 0.000000, 0.000000 
ZZ_2l_2q, FLAV_UDSG, 0, 0.000000, 0.000000 
WZ_3l, FLAV_B, 3914, 0.714452, 0.580480 
WZ_3l, FLAV_C, 38566, 0.381075, 0.107902 
WZ_3l, FLAV_UDSG, 331632, 0.083553, 0.008282 
WW, FLAV_B, 0, 0.000000, 0.000000 
WW, FLAV_C, 0, 0.000000, 0.000000 
WW, FLAV_UDSG, 0, 0.000000, 0.000000 
ZZ_4l, FLAV_B, 57485, 0.744218, 0.613304 
ZZ_4l, FLAV_C, 116526, 0.341425, 0.095978 
ZZ_4l, FLAV_UDSG, 1826312, 0.094565, 0.010826 
ZZ_4l_gg_4mu, FLAV_B, 9106, 0.710882, 0.587433 
ZZ_4l_gg_4mu, FLAV_C, 26934, 0.318076, 0.097517 
ZZ_4l_gg_4mu, FLAV_UDSG, 469004, 0.068589, 0.006729 
ZZ_4l_gg_2e2mu, FLAV_B, 4898, 0.694614, 0.574019 
ZZ_4l_gg_2e2mu, FLAV_C, 14481, 0.305983, 0.091416 
ZZ_4l_gg_2e2mu, FLAV_UDSG, 287449, 0.080413, 0.007498 
WWW, FLAV_B, 9, 0.653058, 0.541032 
WWW, FLAV_C, 44, 0.249913, 0.118193 
WWW, FLAV_UDSG, 370, 0.121376, 0.006212 
WWZ, FLAV_B, 40, 0.710818, 0.525068 
WWZ, FLAV_C, 558, 0.388148, 0.102067 
WWZ, FLAV_UDSG, 3029, 0.093707, 0.009909 
WZZ, FLAV_B, 412, 0.791898, 0.630793 
WZZ, FLAV_C, 646, 0.394515, 0.107587 
WZZ, FLAV_UDSG, 3958, 0.094109, 0.005618 
ZZZ, FLAV_B, 500, 0.822737, 0.701064 
ZZZ, FLAV_C, 460, 0.375715, 0.092039 
ZZZ, FLAV_UDSG, 2849, 0.093627, 0.010525 
H2W_ZH_125, FLAV_B, 49, 0.909638, 0.741830 
H2W_ZH_125, FLAV_C, 483, 0.392421, 0.130092 
H2W_ZH_125, FLAV_UDSG, 2802, 0.086633, 0.010453 
H2W_WH_neg_125, FLAV_B, 4, 0.373320, 0.373320 
H2W_WH_neg_125, FLAV_C, 34, 0.508595, 0.116559 
H2W_WH_neg_125, FLAV_UDSG, 253, 0.099740, 0.010175 
H2W_WH_pos_125, FLAV_B, 1, 0.000000, 0.000000 
H2W_WH_pos_125, FLAV_C, 22, 0.260486, 0.000000 
H2W_WH_pos_125, FLAV_UDSG, 259, 0.086156, 0.014489 
H2Tau_WH_neg_125, FLAV_B, 33, 0.649955, 0.597082 
H2Tau_WH_neg_125, FLAV_C, 301, 0.415980, 0.106408 
H2Tau_WH_neg_125, FLAV_UDSG, 2306, 0.101686, 0.013918 
H2Tau_WH_pos_125, FLAV_B, 41, 0.574900, 0.431651 
H2Tau_WH_pos_125, FLAV_C, 207, 0.355511, 0.112762 
H2Tau_WH_pos_125, FLAV_UDSG, 2315, 0.105338, 0.014072 
H2Tau_ZH_125, FLAV_B, 655, 0.749504, 0.601039 
H2Tau_ZH_125, FLAV_C, 1573, 0.335327, 0.108482 
H2Tau_ZH_125, FLAV_UDSG, 32698, 0.206650, 0.031357 
H2Z_WH_neg_125, FLAV_B, 230, 0.792007, 0.659076 
H2Z_WH_neg_125, FLAV_C, 782, 0.402990, 0.107581 
H2Z_WH_neg_125, FLAV_UDSG, 4072, 0.083742, 0.007869 
H2Z_WH_pos_125, FLAV_B, 300, 0.815662, 0.686132 
H2Z_WH_pos_125, FLAV_C, 1052, 0.396871, 0.126123 
H2Z_WH_pos_125, FLAV_UDSG, 6097, 0.080637, 0.007430 
H2Z_ZH_125, FLAV_B, 1325, 0.818639, 0.674543 
H2Z_ZH_125, FLAV_C, 1272, 0.378027, 0.104605 
H2Z_ZH_125, FLAV_UDSG, 8346, 0.091920, 0.011929 
